CCTV1,rtp://225.1.8.1:8008
CCTV2,rtp://225.1.8.2:8084
CCTV3,rtp://225.1.8.88:8000
CCTV4,rtp://225.1.8.4:8092
CCTV5,rtp://225.1.8.89:8000
CCTV5+,rtp://225.1.8.20:8004
CCTV6,rtp://225.1.8.84:8000
CCTV7,rtp://225.1.8.7:8104
CCTV8,rtp://225.1.8.85:8000
CCTV9,rtp://225.1.8.9:8112
CCTV10,rtp://225.1.8.10:8116
CCTV11,rtp://225.1.8.73:8120
CCTV12,rtp://225.1.8.12:8124
CCTV13,rtp://225.1.8.168:8130
CCTV14,rtp://225.1.8.14:8132
CCTV15,rtp://225.1.8.74:8136
CCTV17,rtp://225.1.8.17:8144
CETV1,rtp://225.1.8.32:8152
北京卫视,rtp://225.1.8.21:8002
卡酷少儿,rtp://225.1.8.35:8000
湖南卫视,rtp://225.1.8.41:8012
黑龙江卫视,rtp://225.1.8.42:8016
深圳卫视,rtp://225.1.8.43:8020
江苏卫视,rtp://225.1.8.44:8028
东方卫视,rtp://225.1.8.45:8032
浙江卫视,rtp://225.1.8.46:8036
湖北卫视,rtp://225.1.8.47:8044
天津卫视,rtp://225.1.8.48:8044
广东卫视,rtp://225.1.8.49:8048
山东卫视,rtp://225.1.8.50:8052
辽宁卫视,rtp://225.1.8.51:8056
安徽卫视,rtp://225.1.8.52:8064
河北卫视,rtp://225.1.8.76:8002
贵州卫视,rtp://225.1.8.77:8076
东南卫视,rtp://225.1.8.79:8148
江西卫视,rtp://225.1.8.171:8166
重庆卫视,rtp://225.1.8.172:8162
三沙卫视,rtp://225.1.8.78:4120
金鹰纪实,rtp://225.1.8.31:8156
纪实人文,rtp://225.1.8.53:8060
快乐垂钓,rtp://225.1.8.71:8002
茶频道,rtp://225.1.8.72:8002
淘精彩,rtp://225.1.8.33:8002
淘BABY,rtp://225.1.8.36:8002
淘剧场,rtp://225.1.8.37:8002
淘电影,rtp://225.1.8.38:8002
淘娱乐,rtp://225.1.8.61:8002
萌宠TV,rtp://225.1.8.63:8002
淘4K,rtp://225.1.8.211:8002
CGTN,rtp://225.1.8.116:8056
CETV1,rtp://225.1.8.169:4120
CETV2,rtp://225.1.8.193:4120
CETV3,rtp://225.1.8.194:4120
CETV4,rtp://225.1.8.195:4120
金鹰卡通,rtp://225.1.8.163:9252
嘉佳卡通,rtp://225.1.8.170:9268
华数少儿动画,rtp://225.1.8.207:9000
华数动画,rtp://225.1.8.240:4120
华数喜剧影院,rtp://225.1.8.251:4120
华数动作影院,rtp://225.1.8.252:4120
华数家庭影院,rtp://225.1.8.253:4120
华数星影,rtp://225.1.8.254:4120
华数精选,rtp://225.1.8.234:4120
华数经典电影,rtp://225.1.8.203:9024
华数爱上4K电影,rtp://225.1.8.80:2000
华数热播剧场,rtp://225.1.8.202:9020
华数魅力时尚,rtp://225.1.8.204:9012
华数城市剧场,rtp://225.1.8.227:4120
华数军旅剧场,rtp://225.1.8.228:4120
华数古装剧场,rtp://225.1.8.229:4120
