CCTV1,rtp://238.125.5.96:5140
CCTV2,rtp://238.125.5.20:5140
CCTV3,rtp://238.125.5.21:5140
CCTV4,rtp://238.125.1.67:5140
CCTV5,rtp://238.125.5.22:5140
CCTV5+,rtp://238.125.5.29:5140
CCTV6,rtp://238.125.5.23:5140
CCTV7,rtp://238.125.5.24:5140
CCTV8,rtp://238.125.5.25:5140
CCTV9,rtp://238.125.5.26:5140
CCTV10,rtp://238.125.5.27:5140
CCTV11,rtp://238.125.3.212:5140
CCTV12,rtp://238.125.5.28:5140
CCTV13,rtp://238.125.5.31:5140
CCTV14,rtp://238.125.5.66:5140
CCTV15,rtp://238.125.4.84:5140
CCTV16,rtp://238.125.5.34:5140
CCTV17,rtp://238.125.5.74:5140
安徽卫视,rtp://238.125.5.9:5140
北京卫视,rtp://238.125.5.3:5140
东方卫视,rtp://238.125.5.5:5140
东南卫视,rtp://238.125.5.49:5140
陕西卫视,rtp://238.125.5.121:5140
广东卫视,rtp://238.125.5.12:5140
广西卫视,rtp://238.125.5.105:5140
贵州卫视,rtp://238.125.5.65:5140
海南卫视,rtp://238.125.5.68:5140
河北卫视,rtp://238.125.5.64:5140
河南卫视,rtp://238.125.3.171:5140
黑龙江卫视,rtp://238.125.5.8:5140
湖北卫视,rtp://238.125.5.10:5140
湖南卫视,rtp://238.125.5.4:5140
吉林卫视,rtp://238.125.3.103:5140
江苏卫视,rtp://238.125.5.6:5140
江西卫视,rtp://238.125.3.106:5140
辽宁卫视,rtp://238.125.5.15:5140
三沙卫视,rtp://238.125.5.114:5140
山东卫视,rtp://238.125.5.11:5140
深圳卫视,rtp://238.125.5.2:5140
四川卫视,rtp://238.125.5.62:5140
天津卫视,rtp://238.125.5.13:5140
云南卫视,rtp://238.125.5.32:5140
浙江卫视,rtp://238.125.5.7:5140
重庆卫视,rtp://238.125.5.14:5140
新疆卫视,rtp://238.125.3.174:5140
金鹰纪实,rtp://238.125.5.71:5140
金鹰卡通,rtp://238.125.5.104:5140
快乐垂钓,rtp://238.125.5.103:5140
茶频道,rtp://238.125.5.101:5140
欢笑剧场,rtp://238.125.5.61:5140
动漫秀场,rtp://238.125.5.33:5140
都市剧场,rtp://238.125.5.60:5140
法治天地,rtp://238.125.5.116:5140
游戏风云,rtp://238.125.5.36:5140
生活时尚,rtp://238.125.5.113:5140
金色学堂,rtp://238.125.5.115:5140
东方财经,rtp://238.125.4.54:5140
哈哈炫动,rtp://238.125.5.106:5140
卡酷少儿,rtp://238.125.5.107:5140
纪实科教,rtp://238.125.5.70:5140
文物宝库,rtp://238.125.4.106:5140
武术世界,rtp://238.125.4.104:5140
梨园频道,rtp://238.125.4.103:5140
CETV1,rtp://238.125.5.51:5140
CETV4,rtp://238.125.4.98:5140
CGTN英语,rtp://238.125.5.69:5140
CGTN纪录,rtp://238.125.3.119:5140
求索纪录,rtp://238.125.5.108:5140
包头TV1,rtp://238.125.3.12:5140
包头TV2,rtp://238.125.3.13:5140
包头TV3,rtp://238.125.3.14:5140
乌鲁木齐1,rtp://238.125.3.238:5140
阿克苏1,rtp://238.125.3.84:5140
阿克苏2,rtp://238.125.3.86:5140
阿拉尔,rtp://238.125.3.54:5140
阿勒泰1,rtp://238.125.3.150:5140
克孜勒苏柯尔克孜1,rtp://238.125.4.240:5140
克孜勒苏柯尔克孜2,rtp://238.125.4.241:5140
克孜勒苏柯尔克孜3,rtp://238.125.4.242:5140
伊犁哈萨克1,rtp://238.125.4.147:5140
伊犁哈萨克2,rtp://238.125.4.148:5140
伊犁哈萨克3,rtp://238.125.4.149:5140
伊犁哈萨克4,rtp://238.125.4.150:5140
喀什1,rtp://238.125.3.214:5140
喀什2,rtp://238.125.3.215:5140
喀什3,rtp://238.125.3.216:5140
巴音郭楞1,rtp://238.125.3.38:5140
巴音郭楞2,rtp://238.125.3.39:5140
巴音郭楞3,rtp://238.125.3.40:5140
巴音郭楞4,rtp://238.125.3.43:5140
昌吉市电视台,rtp://238.125.3.27:5140
霍城1,rtp://238.125.3.7:5140
呼图壁1,rtp://238.125.3.91:5140
玛纳斯1,rtp://238.125.3.114:5140
竹山1,rtp://238.125.3.225:5140
竹山2,rtp://238.125.3.226:5140
奎屯1,rtp://238.125.3.248:5140
奎屯3,rtp://238.125.3.250:5140
综合,rtp://238.125.3.165:5140
哈密TV1,rtp://238.125.4.194:5140
哈密TV1,rtp://238.125.4.195:5140
哈密TV3,rtp://238.125.0.195:5140
人物频道,rtp://238.125.5.109:5140
精彩影视,rtp://238.125.5.110:5140
党员远程教育,rtp://238.125.4.144:5140
SSTV2,rtp://238.125.3.240:5140
